lang,freq
python,7
r,5
sql,9
sas,8
excel,8
spss,2
hadoop,0
kibana,0
tableau,0
pig,0
stata,1
powerbi,1
java,12
c/c++,13
hive,0
matlab,1
ruby,0
perl,1
hbase,0
spark,1
php,2
scala,0
