lang,freq
python,484
r,461
sql,860
sas,157
excel,248
spss,33
hadoop,473
kibana,3
tableau,108
pig,17
stata,10
powerbi,39
java,409
c/c++,457
hive,261
matlab,39
ruby,66
perl,19
hbase,175
spark,230
php,28
scala,111
